Brand,Price,Launch Year,OS,CPU,CPU Architecture,RAM,Display Type,Screen Size,Screen to Body Ratio,Touch Screen,Height,Width,Thickness,Weight,Material,Camera Setup,Camera Autofocus,Camera Flash,Image Resolution,Capacity,Battery Type,Removable Battery,Quick Charging,USB Type-C,Internal Memory,Expandable Memory,SIM Slot(s),Network Support,VoLTE,Wi-Fi,Bluetooth,GPS,NFC,FM Radio,Loudspeaker,Fingerprint Sensor,Waterproof,Wireless Charging,Heart Rate Monitor,Volume
Other,7249.0,2020,Android,Octa core,64 bit,2 GB,IPS LCD,6.52,82.25,Yes,164.4,75.9,9.1,196.0,Plastic,Single,Yes,Yes,12780288.0,5000.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,113549.436
Samsung,14149.0,2020,Android,Octa core,64 bit,6 GB,Other,6.4,83.92,Yes,159.2,75.1,8.9,191.0,Plastic,Single,No,No,63000000.0,6000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,106407.688
Other,12994.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.67,84.62,Yes,165.7,76.6,8.8,209.0,Glass,Single,Yes,Yes,48000000.0,5020.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,111695.056
Other,22990.0,2020,Android,Octa core,64 bit,8 GB,Other,6.44,83.66,Yes,161.3,74.2,7.3,171.0,Other,Single,Yes,Yes,63000000.0,4000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,87369.758
Other,10999.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.78,,Yes,,,,,Other,Single,Yes,Yes,50122500.0,5000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,
Samsung,14649.0,2020,Android,Octa core,64 bit,6 GB,Other,6.4,83.92,Yes,159.2,75.1,8.9,191.0,Plastic,Single,No,No,63000000.0,6000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,106407.688
Other,21999.0,2021,Android,Octa core,64 bit,8 GB,Other,6.67,85.8,Yes,164.5,76.1,8.1,192.0,Other,Single,Yes,Yes,108000000.0,5020.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,101399.44499999999
Other,10990.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.5,82.87,Yes,163.9,75.1,8.4,186.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,103394.676
Other,8499.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.53,81.08,Yes,164.9,77.0,9.0,194.0,Plastic,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,114275.70000000001
Apple,30099.0,2020,iOS,Quad core,64 bit,3 GB,IPS LCD,4.7,65.23,Yes,138.4,67.3,7.3,148.0,Glass,Single,Yes,Yes,12000000.0,1821.0,Li-ion,No,Yes,No,64 GB,No,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,67994.536
Other,7499.0,2021,Android,Octa core,64 bit,2 GB,IPS LCD,6.5,80.82,Yes,165.2,76.4,8.9,195.0,Other,Single,Yes,Yes,7990272.0,5000.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,112329.392
Other,18490.0,2021,Android,Octa core,64 bit,8 GB,Other,6.43,85.18,Yes,160.1,73.2,7.8,172.0,Other,Single,Yes,Yes,48000000.0,4310.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,91410.696
Samsung,11630.0,2021,Android,Octa core,64 bit,4 GB,Other,6.5,82.06,Yes,164.0,75.8,8.9,205.0,Plastic,Single,No,No,48000000.0,5000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,110637.68
Other,19990.0,2020,Android,Octa core,64 bit,6 GB,IPS LCD,6.67,85.16,Yes,165.3,76.3,10.08,225.0,Plastic,Single,Yes,Yes,63000000.0,6000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,127132.89120000001
Apple,32999.0,2018,iOS,Quad core,64 bit,3 GB,IPS LCD,6.1,79.79,Yes,150.9,75.7,8.3,194.0,Glass,Single,Yes,Yes,12000000.0,2942.0,Li-ion,No,Yes,No,64 GB,No,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,94811.97900000002
Other,9798.0,2020,Android,Octa core,64 bit,3 GB,IPS LCD,6.52,83.0,Yes,164.0,75.4,7.9,175.0,Plastic,Single,Yes,Yes,12780288.0,4230.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,97688.24
Samsung,4999.0,2020,Android,Quad core,64 bit,1 GB,Other,5.3,74.87,Yes,141.7,67.5,8.6,150.0,Plastic,Single,No,No,7990272.0,3000.0,Li-ion,No,No,No,16 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,82256.84999999999
Other,19990.0,2019,Android,Octa core,64 bit,4 GB,Other,6.38,83.12,Yes,159.5,75.2,8.1,179.0,Plastic,Single,Yes,Yes,15989824.0,4500.0,Li-Polymer,No,Yes,No,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,97154.64
Other,20990.0,2021,Android,Octa core,64 bit,8 GB,Other,6.44,83.6,Yes,161.2,74.3,7.3,170.0,Other,Single,Yes,Yes,63000000.0,4000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,87433.26799999998
Other,9980.0,2021,Android,Octa core,64 bit,3 GB,IPS LCD,6.51,81.57,No,164.4,76.3,8.4,191.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,105367.24799999999
Other,12598.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.52,82.88,Yes,163.8,75.6,8.4,190.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,No,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,104019.55200000001
Other,17990.0,2020,Android,Octa core,64 bit,8 GB,Other,6.43,84.5,Yes,160.14,73.77,7.48,164.0,Other,Dual,Yes,Yes,48000000.0,4015.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,88365.18794399999
Other,16999.0,2019,Android,Octa core,64 bit,4 GB,Other,6.4,84.07,Yes,158.7,75.2,8.6,183.0,Glass,Single,Yes,Yes,63000000.0,4000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,102634.46399999999
Other,16490.0,2021,Android,Octa core,64 bit,6 GB,IPS LCD,6.58,84.75,Yes,163.8,75.3,8.3,188.0,Other,Single,Yes,Yes,48000000.0,5000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,102373.36200000002
Other,11800.0,2019,Android,Octa core,64 bit,4 GB,IPS LCD,6.53,83.17,Yes,162.39,77.33,8.85,201.0,Plastic,Single,Yes,Yes,15989824.0,5000.0,Li-Polymer,No,Yes,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,111134.92549499999
Samsung,16349.0,2020,Android,Octa core,64 bit,8 GB,Other,6.5,86.07,Yes,159.3,74.4,9.3,203.0,Plastic,Single,No,No,63000000.0,6000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,110222.85600000003
Samsung,30999.0,2021,Android,Octa core,64 bit,8 GB,Other,6.7,84.86,Yes,165.0,77.4,8.4,203.0,Other,Single,No,Yes,63000000.0,5000.0,Li-ion,No,Yes,No,128 GB,Yes,Dual,4G,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,107276.40000000002
Other,11441.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.5,81.59,Yes,164.5,76.0,9.1,200.0,Other,Single,Yes,Yes,50122500.0,5000.0,Li-ion,No,Yes,No,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,113768.2
Other,12490.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.5,81.7,Yes,164.5,75.9,9.8,208.0,Other,Single,Yes,Yes,48000000.0,6000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,122358.39000000001
Other,14499.0,2021,Android,Octa core,64 bit,6 GB,IPS LCD,6.5,83.45,Yes,161.9,75.5,9.5,192.0,Other,Single,Yes,Yes,50122500.0,6000.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,116122.77500000001
Samsung,22499.0,2021,Android,Octa core,64 bit,8 GB,Other,6.7,86.66,Yes,163.9,76.3,9.5,218.0,Plastic,Single,No,No,63000000.0,7000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,118802.915
Other,7499.0,2021,Android,Octa core,64 bit,2 GB,IPS LCD,6.5,80.82,Yes,165.2,76.4,8.9,190.0,Plastic,Single,Yes,Yes,7990272.0,5000.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,112329.392
Google,25999.0,2020,Android,Octa core,64 bit,6 GB,Other,5.81,82.74,Yes,144.0,69.4,8.2,143.0,Other,Single,Yes,Yes,12000000.0,3140.0,Li-Polymer,No,Yes,Yes,128 GB,No,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,81947.51999999999
Samsung,32999.0,2020,Android,Octa core,64 bit,8 GB,Other,6.5,85.68,Yes,159.8,74.5,8.4,190.0,Plastic,Single,No,Yes,12000000.0,4500.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,100002.84000000001
Other,18000.0,2020,Android,Octa core,64 bit,8 GB,Other,6.44,84.04,Yes,161.0,74.0,7.8,171.0,Plastic,Single,Yes,Yes,48000000.0,4100.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,92929.2
Other,24500.0,2020,Android,Octa core,64 bit,8 GB,Other,6.4,84.84,Yes,158.8,73.4,8.1,175.0,Glass,Dual,Yes,Yes,63000000.0,4025.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,94412.952
Samsung,12149.0,2020,Android,Octa core,64 bit,4 GB,Other,6.4,84.02,Yes,159.0,75.1,8.9,188.0,Plastic,Single,No,No,48000000.0,6000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,106274.01
Other,9990.0,2019,Android,Octa core,64 bit,3 GB,IPS LCD,6.35,81.91,Yes,159.4,76.7,8.9,190.0,Plastic,Single,Yes,Yes,12780288.0,5000.0,Li-ion,No,Yes,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,108811.22200000002
OnePlus,41990.0,2019,Android,Octa core,64 bit,6 GB,Other,6.67,88.3,Yes,162.6,75.9,8.8,206.0,Glass,Single,Yes,Yes,48000000.0,4000.0,Li-ion,No,Yes,Yes,128 GB,No,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,108603.79200000002
Samsung,18199.0,2021,Android,Octa core,64 bit,6 GB,Other,6.4,84.35,Yes,159.3,73.6,8.4,186.0,Plastic,Single,No,No,48000000.0,5000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,98485.632
Other,8499.0,2021,Android,Octa core,64 bit,3 GB,IPS LCD,6.53,80.97,Yes,164.9,77.1,9.0,194.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,114424.10999999999
Other,9499.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.82,83.23,Yes,171.5,77.5,9.2,211.0,Other,Single,Yes,Yes,48000000.0,6000.0,Li-Polymer,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,122279.49999999999
Other,11999.0,2019,Android,Octa core,64 bit,4 GB,IPS LCD,6.3,81.56,Yes,158.3,75.3,8.3,188.0,Glass,Single,Yes,Yes,48000000.0,4000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,98935.917
Other,10999.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.95,84.28,Yes,173.2,78.7,8.8,205.0,Other,Single,Yes,Yes,48000000.0,5000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,119951.392
